1,2272
2,nan
3,1386
4,1365
5,1488
6,1337
7,1883
8,2283
9,1335
10,1025
11,1139
12,1477
13,1203
14,1311
15,1299
16,1494
17,1159
18,1365
19,1272
20,1246
21,1071
22,1876
23,nan
24,1410
25,925
26,1533
27,2104
28,2113
29,1993
30,1045
31,2090
32,2227
33,1413
34,1718
35,1721
36,1291
37,1838
38,2540
39,1608
40,2455
41,1929
42,1767
43,1203
44,1761
45,1723
46,2160
47,808
48,nan
49,1324
50,1809
51,1933
52,1351
53,2013
54,1207
55,2170
56,1700
57,1899
58,1757
59,1475
60,1921
61,1971
62,1809
63,1365
64,1775
65,1687
66,1706
67,1353
68,1316
69,1512
70,2430
71,1788
72,1380
73,1357
74,990
75,1586
76,2057
77,1690
78,1458
79,1201
80,1949
81,1493
82,1653
83,1217
84,1457
85,1179
86,1484
87,2730
88,1414
89,1060
90,1573
91,1260
92,1216
93,981
94,1345
95,nan
96,1667
97,730
98,1034
99,1628
100,1155
101,1305
102,1444
103,2242
104,1842
105,1210
106,1384
107,1313
108,1508
109,1796
110,1265
111,1090
112,2159
113,1167
114,1391
115,1445
116,1196
117,1049
118,1999
119,472
120,1285
121,1737
122,1534
123,2636
124,1372
125,1325
126,833
127,1200
128,2431
129,1740
130,2121
131,1726
132,1344
133,1072
134,1386
135,1054
136,1051
137,1270
138,1857
139,1437
140,2016
141,1352
142,909
143,1761
144,1009
145,2035
146,1534
147,1708
148,733
149,1455
150,1332
151,1606
152,1065
153,1291
154,nan
155,1495
156,1928
157,2249
158,987
159,1023
160,875
161,1569
162,1032
163,1079
164,1087
165,1152
166,961
167,1232
168,2188
169,1179
170,1475
171,1612
172,921
173,2432
174,1650
175,1077
176,823
177,1578
178,1872
179,1669
180,nan
181,nan
182,1407
183,1619
184,894
185,1948
186,2298
187,2163
188,1108
189,1731
190,1601
191,1684
192,2025
193,1688
194,1736
195,1474
196,1770
197,1348
198,1570
199,1861
200,1458
201,2282
202,1553
203,2323
204,1202
205,1768
206,2184
207,1329
208,1781
209,1242
210,nan
211,1454
212,1501
213,875
214,1521
215,2611
216,1948
217,1707
218,1335
219,2211
220,1358
221,2501
222,1764
223,1527
224,1421
225,1949
226,2156
227,1503
228,1658
229,1032
230,1536
231,1345
232,2022
233,2035
234,2109
235,1587
236,1666
237,1064
238,1457
239,2399
240,1449
241,2406
242,1831
243,1423
244,1754
245,1641
246,1428
247,1928
248,1618
249,1361
250,1273

